status	platforms	file	case
pass	all	cli.test.ts	cli: credits > fx credits --json preserves Gateway HTTP denial details
skip	all	cli.test.ts	cli: credits > fx credits --json returns credits JSON or exits non-zero
pass	all	cli.test.ts	cli: doctor > fx doctor --json bounds session diagnostics without summary cache
pass	all	cli.test.ts	cli: doctor > fx doctor --json leaves an empty home unchanged
pass	all	cli.test.ts	cli: doctor > fx doctor --json returns valid doctor JSON
pass	all	cli.test.ts	cli: error handling > fx ask explains no-save resume conflicts before a model turn
pass	all	cli.test.ts	cli: error handling > fx ask rejects unknown options before a model turn and -- preserves literal prompt text
pass	all	cli.test.ts	cli: error handling > fx ask with no prompt exits 1
pass	all	cli.test.ts	cli: error handling > fx unknown-command exits 1
pass	all	cli.test.ts	cli: help > fx --help hides developer recording surfaces
pass	all	cli.test.ts	cli: help > fx --help respects COLUMNS=60
pass	all	cli.test.ts	cli: help > fx -h hides developer recording surfaces
pass	all	cli.test.ts	cli: help > fx -h respects COLUMNS=60
pass	all	cli.test.ts	cli: help > fx acp help documents accepted options
pass	all	cli.test.ts	cli: help > fx acp rejects unknown options and missing option values
pass	all	cli.test.ts	cli: help > fx ask help renders documented options through both aliases
pass	all	cli.test.ts	cli: help > fx help hides developer recording surfaces
pass	all	cli.test.ts	cli: help > fx help respects COLUMNS=60
pass	all	cli.test.ts	cli: help > fx rejects the removed record flag as unknown input
pass	all	cli.test.ts	cli: help > fx replay help describes golden output
pass	all	cli.test.ts	cli: help > fx session help documents inspect resume migrate and recover
pass	all	cli.test.ts	cli: help > top-level help aliases render the same accurate navigation page
pass	all	cli.test.ts	cli: interactive startup > interactive startup without TTY exits one
pass	all	cli.test.ts	cli: issue > fx issue without gateway auth exits non-zero
pass	all	cli.test.ts	cli: logout > fx logout deletes only the saved login and keeps environment credentials available
pass	all	cli.test.ts	cli: logout > fx logout fails when the saved login cannot be deleted
pass	all	cli.test.ts	cli: logout > fx logout leaves an active API key unchanged when no login exists
macos-aarch64=pass;linux-x86_64=skip;linux-aarch64=skip	all	cli.test.ts	cli: logout > fx logout leaves the macOS Keychain API key untouched
pass	all	cli.test.ts	cli: logout > fx logout removes a saved login rejected for unsafe permissions
pass	all	cli.test.ts	cli: logout > fx logout revokes refresh and access tokens after local deletion
pass	all	cli.test.ts	cli: logout > fx logout warns once and sends no tokens to an invalid revocation endpoint
pass	all	cli.test.ts	cli: logout > fx logout warns once and sends no tokens without a revocation endpoint
pass	all	cli.test.ts	cli: missing durable home > read-only commands tolerate a nonexistent HOME and saved ask bootstraps it
pass	all	cli.test.ts	cli: missing durable home > session commands fail precisely while doctor remains available without HOME
pass	all	cli.test.ts	cli: models > cancelling fx models does not retry anonymously
skip	all	cli.test.ts	cli: models > fx models --json returns valid models JSON
pass	all	cli.test.ts	cli: models > fx models --json sends an API key so the catalog includes team-private models
pass	all	cli.test.ts	cli: models > fx models --json sends deployment OIDC so the catalog includes team-private models
pass	all	cli.test.ts	cli: models > fx models --json uses public access for an expired fx login without refreshing it
pass	all	cli.test.ts	cli: models > fx models --json uses the anonymous public catalog without a credential
pass	all	cli.test.ts	cli: models > fx models --json uses the selected fx login team catalog
pass	all	cli.test.ts	cli: models > fx models preserves a catalog with non-array data without anonymous retry
pass	all	cli.test.ts	cli: models > fx models preserves a catalog without data without anonymous retry
pass	all	cli.test.ts	cli: models > fx models preserves a malformed top-level catalog array without anonymous retry
pass	all	cli.test.ts	cli: models > fx models preserves malformed JSON without anonymous retry
pass	all	cli.test.ts	cli: models > fx models preserves network and 5xx failures without anonymous retry
pass	all	cli.test.ts	cli: models > fx models preserves rate limiting without anonymous retry
pass	all	cli.test.ts	cli: models > fx models rejects E2E gateway redirects without contacting the target
pass	all	cli.test.ts	cli: models > fx models renders exact text for a rejected credential empty fallback catalog
pass	all	cli.test.ts	cli: models > fx models renders exact text for an ordinary public empty catalog
pass	all	cli.test.ts	cli: models > fx models retries a rejected API key exactly once without authentication
pass	all	cli.test.ts	cli: permissions > fx permissions --json returns valid permissions JSON
pass	all	cli.test.ts	cli: pr > fx pr without gateway auth exits non-zero
pass	all	cli.test.ts	cli: read-only no-create matrix > doctor --json leaves an empty home unchanged
pass	all	cli.test.ts	cli: read-only no-create matrix > session --id missing.valid-id --json leaves an empty home unchanged
pass	all	cli.test.ts	cli: read-only no-create matrix > session last --json leaves an empty home unchanged
pass	all	cli.test.ts	cli: read-only no-create matrix > sessions --json leaves an empty home unchanged
pass	all	cli.test.ts	cli: read-only no-create matrix > status --json leaves an empty home unchanged
pass	all	cli.test.ts	cli: removed task and background commands > fx task, fx tasks, and fx background are unknown commands
pass	all	cli.test.ts	cli: removed task and background commands > legacy tasks files are ignored by ordinary session loading
pass	all	cli.test.ts	cli: replay failures > fx replay --json preserves structured failures for missing and malformed tapes
pass	all	cli.test.ts	cli: session > fx session with no id exits non-zero or shows usage
pass	all	cli.test.ts	cli: sessions > exact session flags address special-token and 255-byte IDs literally
pass	all	cli.test.ts	cli: sessions > expected json failures emit machine-readable stdout
pass	all	cli.test.ts	cli: sessions > fx sessions --json ignores malformed and oversized list caches
pass	all	cli.test.ts	cli: sessions > fx sessions --json returns valid sessions JSON
pass	all	cli.test.ts	cli: sessions > fx sessions text shows named, unnamed, and renamed sessions
pass	all	cli.test.ts	cli: sessions > profile-wide session discovery recovers sessions after a workspace rename
pass	all	cli.test.ts	cli: sessions > session discovery reports corrupt records and distinguishes an unreadable latest session
pass	all	cli.test.ts	cli: sessions > session listing pages a 9001-entry index without scanning session directories
pass	all	cli.test.ts	cli: sessions > session lists use projections without opening unreadable event logs
pass	all	cli.test.ts	cli: sessions > workspace-scoped session discovery filters list and last by cwd
pass	all	cli.test.ts	cli: setup > fx setup is a top-level command and fails cleanly when Keychain is disabled
pass	all	cli.test.ts	cli: setup > fx setup never invokes the configured Vercel CLI
pass	all	cli.test.ts	cli: status > a new status process keeps normal credential precedence
pass	all	cli.test.ts	cli: status > fx status --json defaults permission mode to auto
pass	all	cli.test.ts	cli: status > fx status --json returns valid status JSON
pass	all	cli.test.ts	cli: status > fx status reports a persisted dev update channel
pass	all	cli.test.ts	cli: status > fx upgrade help documents release channels
pass	all	cli.test.ts	cli: status > project profile-only settings are ignored before parsing and profile overrides win
pass	all	cli.test.ts	cli: status > special settings files fail closed without blocking CLI startup
pass	all	cli.test.ts	cli: status > status and doctor apply an exact FX_MAX_AGENT_STEPS override
pass	all	cli.test.ts	cli: status > status and doctor expose the MCP profile error that blocks ask startup
pass	all	cli.test.ts	cli: status > status and doctor inspect an expired login without refreshing it
pass	all	cli.test.ts	cli: status > status and doctor share fx login source, team, and refreshability
pass	all	cli.test.ts	cli: status > status and doctor share the missing auth snapshot
macos-aarch64=skip;linux-x86_64=pass;linux-aarch64=pass	all	cli.test.ts	cli: stored key file backend > a 0600 key file resolves, and a loosened one is refused rather than reported absent
pass	all	cli.test.ts	cli: usage > fx usage distinguishes empty, invalid, corrupt, and unsafe local state
pass	all	cli.test.ts	cli: usage > fx usage preserves known totals but fails closed when recovery storage is unsafe
pass	all	cli.test.ts	cli: usage > fx usage preserves known totals when the ledger is incomplete
pass	all	cli.test.ts	cli: usage > fx usage reads rolling local facts without credentials or profile mutation
pass	all	cli.test.ts	cli: version > fx --version prints the source version
pass	all	cli.test.ts	cli: version > fx -v prints the source version
pass	all	cli.test.ts	cli: workspace access > workspace commands mutate persisted aliases by workspace identity
pass	all	cli.test.ts	cli: workspace access > workspace commands persist per-primary roots and track availability
pass	all	cli.test.ts	cli: workspace access > workspace launch modifiers preserve ask help and report friendly option errors
pass	all	config-persistence.test.ts	config persistence > Escape keeps the model picker dismissed until the model trigger restarts
pass	all	config-persistence.test.ts	config persistence > Fable 5 xhigh picker selection persists without fast mode
pass	all	config-persistence.test.ts	config persistence > Fast command rejects an intrinsic Fast alias
pass	all	config-persistence.test.ts	config persistence > Fast indicator remains stable while model catalog resolves
pass	all	config-persistence.test.ts	config persistence > GPT 5.6 Sol priority pricing drives the Fast request
pass	all	config-persistence.test.ts	config persistence > Gateway catalog reasoning drives portable effort requests and persistence
pass	all	config-persistence.test.ts	config persistence > Opus 4.8 Fast pricing drives picker request and persistence
pass	all	config-persistence.test.ts	config persistence > concurrent global mutations preserve both values and unknown keys
pass	all	config-persistence.test.ts	config persistence > config diagnostics preserve invalid, oversized, and unsafe primaries
pass	all	config-persistence.test.ts	config persistence > legacy output settings remain inert and output text follows prompt admission
pass	all	config-persistence.test.ts	config persistence > model picker selection persists when a matching skill exists
pass	all	config-persistence.test.ts	config persistence > settings persistence remains available when session storage is unavailable
pass	all	config-persistence.test.ts	config persistence > settings reasoning effort changes without mutating the selected model
pass	all	config-persistence.test.ts	config persistence > stale workspace mutations preserve an ordered remove and add
pass	all	config-persistence.test.ts	config persistence > unscoped allowlist stays local while explicit user rules cross projects
pass	all	config-persistence.test.ts	config persistence > user preferences migrate globally and load in another project
pass	all	config-persistence.test.ts	config persistence > workspace add canonicalizes observed aliases before restart
pass	all	config-persistence.test.ts	config persistence > workspace add rejects effective capacity without changing settings
pass	all	config-persistence.test.ts	config persistence > workspace list marks a directory deleted during the session unavailable
pass	all	config-persistence.test.ts	config persistence > workspace list restores canonical access through a new symlinked ancestor
pass	all	config-persistence.test.ts	config persistence > workspace removal consumes a concurrent exact canonical replacement
pass	all	config-persistence.test.ts	config persistence > workspace removal persists after an observed source disappears
pass	all	config-persistence.test.ts	config persistence > workspace removal persists after an observed source retargets
pass	all	config-persistence.test.ts	config persistence > workspace removal prefers a concurrent canonical survivor before restart
pass	all	config-persistence.test.ts	config persistence > workspace removal uses observed identity and preserves an unseen source
pass	all	config-persistence.test.ts	config persistence > workspace slash mutations persist across restart and remove cleanly
pass	all	config-persistence.test.ts	config persistence > workspace slash removal explains launch restoration and uses friendly errors
pass	all	config-persistence.test.ts	config persistence > workspace statusline stays active when user settings cannot be saved
skip	all	context-limits-live.test.ts	live source context limits > fresh binary sends a bounded real Gateway request and returns normally
pass	all	file-tool-paths.test.ts	filesystem path handling > active added roots reach read cwd and search admission without loading their instructions
pass	all	file-tool-paths.test.ts	filesystem path handling > automatic review receives a large prepared overwrite before caution
pass	all	file-tool-paths.test.ts	filesystem path handling > captured commands write through an active added root
pass	all	file-tool-paths.test.ts	filesystem path handling > external relative read-only tools resolve their canonical roots
pass	all	file-tool-paths.test.ts	filesystem path handling > glob pattern cannot escape the separately approved search root
pass	all	file-tool-paths.test.ts	filesystem path handling > headless automatic review caution returns advice without writing
skip	all	file-tool-paths.test.ts	filesystem path handling > live Gateway reads an active added root without adopting its instructions
skip	all	file-tool-paths.test.ts	filesystem path handling > live Gateway uses shell for removed filesystem operations
pass	all	file-tool-paths.test.ts	filesystem path handling > missing HOME returns HomeNotSet without treating tilde as workspace-relative
pass	all	file-tool-paths.test.ts	filesystem path handling > read_file expands home and canonicalizes relative and absolute external aliases
pass	all	file-tool-paths.test.ts	filesystem path handling > registered typed write and edit use one canonical fx ask mutation path
pass	all	file-tool-paths.test.ts	filesystem path handling > removed filesystem tools are absent and shell completes the fallback flow
pass	all	file-tool-paths.test.ts	filesystem path handling > retained edit tool honors canonical external permission targets
pass	all	file-tool-paths.test.ts	filesystem path handling > shell reviews and executes external working-directory aliases
pass	all	file-tool-paths.test.ts	filesystem path handling > trusted new writes bypass review while external overwrites use exact review
pass	all	file-tool-permissions.test.ts	external file permissions > fx ask --yolo bypasses a configured write denial without a classifier request
pass	all	file-tool-permissions.test.ts	external file permissions > fx ask reads external paths and exercises classifier and rule-gated writes
pass	all	gateway-stream-lifecycle.test.ts	gateway stream lifecycle > CLI continuation prints one complete response after checkpointed partial output
pass	all	gateway-stream-lifecycle.test.ts	gateway stream lifecycle > HTTP 413 after a local tool surfaces prompt-too-long without replaying the tool
pass	all	gateway-stream-lifecycle.test.ts	gateway stream lifecycle > OS filesystem access denial reaches the next gateway request
pass	all	gateway-stream-lifecycle.test.ts	gateway stream lifecycle > SIGKILL during persistent child work keeps parent recovery selectable
pass	all	gateway-stream-lifecycle.test.ts	gateway stream lifecycle > SIGKILL leaves no named no-save replay output
pass	all	gateway-stream-lifecycle.test.ts	gateway stream lifecycle > SIGTERM drains an active headless shell command without panic or survivors
macos-aarch64=skip;linux-x86_64=pass;linux-aarch64=pass	all	gateway-stream-lifecycle.test.ts	gateway stream lifecycle > a second headless shell run survives replacing the running fx binary
